feature,formula,racional,signo_esperado,uso
cuota_estimada,"monto * r / (1 - (1+r)^-plazo), con r = (1+TEA_ref)^(1/12) - 1",Cuota mensual del crédito solicitado. Es el insumo de todas las medidas de capacidad de pago.,-,Insumo (no predictor)
ingreso_verificable,monthly_income * (1 - cash_income_share),"Parte del ingreso con trazabilidad (depósitos, transferencias). En un cliente rural informal es lo único que la Caja puede sustentar ante una revisión.",-,Insumo (no predictor)
dti_post,(monthly_debt_payment + cuota_estimada) / monthly_income,"Carga de deuda total si se aprueba el crédito. El `dti` del dataset solo mide la deuda vigente e ignora la cuota nueva, que es justo lo que decide la aprobación.",+,Predictor y regla de política
dti_post_verificable,"(monthly_debt_payment + cuota_estimada) / ingreso_verificable, acotado a 10","Versión exigente del DTI: mide la carga contra el ingreso sustentable. Penaliza al cliente cuya capacidad depende de efectivo no verificable, sin excluirlo por ser informal.",+,Predictor
excedente_per_capita,(monthly_income - monthly_debt_payment - cuota_estimada) / (1 + household_dependents),Excedente mensual por miembro del hogar tras pagar todas las cuotas. Es la métrica clásica de microfinanzas: dos clientes con igual DTI no tienen la misma holgura si uno mantiene a 5 personas.,-,Predictor
colchon_ahorro_meses,savings_balance / cuota_estimada,Cuántas cuotas podría pagar el cliente con sus ahorros si su ingreso se interrumpe. Clave en un producto con ingreso estacional (una mala cosecha).,-,Predictor
ahorro_sobre_monto,savings_balance / requested_amount,Capacidad de ahorro frente al tamaño del crédito pedido. Señal de disciplina financiera y de que el monto solicitado es proporcional al cliente.,-,Predictor
deuda_por_obligacion,monthly_debt_payment / (1 + active_loans),Cuota promedio por obligación vigente. Separa al cliente con varias deudas chicas del que tiene una deuda grande con el mismo pago total.,+,Predictor
intensidad_busqueda,bureau_inquiries_6m / (1 + active_loans),"Consultas al buró por obligación vigente. Muchas consultas sin deudas nuevas sugieren búsqueda activa de crédito, señal temprana de estrés de liquidez.",+,Predictor
antiguedad_relativa,"employment_tenure_months / ((age - 14) * 12), acotado a 1",Qué proporción de su vida laboral posible lleva el cliente en la actividad actual. Normaliza la antigüedad por edad: 24 meses valen distinto a los 20 que a los 55 años. El tope en 1 corrige de paso las 100 inconsistencias detectadas en 6.3.,-,Predictor
campana_siembra,1 si el mes de observation_date está entre setiembre y diciembre,"Marca las originaciones de la campaña agrícola grande (siembra), cuyo repago depende de una cosecha aún no realizada. El default por mes de originación es más alto en ese tramo.",+,Predictor
flag_sin_buro,1 si bureau_score es nulo,"Cliente thin-file. El faltante es informativo (perfil sin historial), no un error: el modelo debe poder distinguirlo en lugar de recibir un valor imputado indistinguible de un score real.",?,Predictor (indicador de faltante)
flag_sin_ingreso,1 si monthly_income es nulo,Sin ingreso declarado no hay capacidad de pago calculable; en política obliga a verificación en campo.,?,Predictor (indicador de faltante)
flag_sin_ahorro,1 si savings_balance es nulo,Distingue al cliente sin producto de ahorro en la Caja del que tiene saldo cero.,?,Predictor (indicador de faltante)
